"ProjectTitle","Project Abstract","OutputTitle","OutputBiblio","OutputYear","ProjectRDC","Keywords","Authors","Year","DOI"
"Understanding Employee Entrepreneurship","This project will analyze the process of new venture formation in the US economy with particular emphasis on employee entrepreneurship. The project will create a new-ventures dataset, and will use that dataset to examine new venture formation in three closely related investigations. The first will compare the performance of new ventures with different pre-entry histories, and analyze how these performance variations are related to the characteristics of the new venture's founders and its parent firm. The second will shift the focus to spinoffs, i.e., new firms started by clusters of employees from an existing firm and will examine why some firms and industries seem to spawn more spinoffs than others. The last investigation will narrow the focus to a single institutional factor -- non-compete covenants -- and will seek to understand if inter-state differences in the enforceability of these covenants affect new firm creation.","Locked In? The Enforceability of Covenants Not to Compete and the Careers of High-Tech Workers","Balasubramanian, Natarajan, Jin Woo Chang, Mariko Sakakibara, Jagadeesh Sivadasan, and Evan Starr. 2017. “Locked In? The Enforceability of Covenants Not to Compete and the Careers of High-Tech Workers.” Center for Economic Studies Discussion Paper 17-09.","2017","UCLA",NA,"Balasubramanian, Natarajan, Jin Woo Chang, Mariko Sakakibara, Jagadeesh Sivadasan, and Evan Starr.","2017",NA
"Understanding Employee Entrepreneurship","This project will analyze the process of new venture formation in the US economy with particular emphasis on employee entrepreneurship. The project will create a new-ventures dataset, and will use that dataset to examine new venture formation in three closely related investigations. The first will compare the performance of new ventures with different pre-entry histories, and analyze how these performance variations are related to the characteristics of the new venture's founders and its parent firm. The second will shift the focus to spinoffs, i.e., new firms started by clusters of employees from an existing firm and will examine why some firms and industries seem to spawn more spinoffs than others. The last investigation will narrow the focus to a single institutional factor -- non-compete covenants -- and will seek to understand if inter-state differences in the enforceability of these covenants affect new firm creation.","Creation, Growth, and Destruction: The Life-Cycle Impact of Enforcing Covenants Not to Compete on Spin-Outs and Other New Ventures","Starr, Evan, Natarajan Balasubramanian, and Mariko Sakakibara. 2013 “Creation, Growth, and Destruction: The Life-Cycle Impact of Enforcing Covenants Not to Compete on Spin-Outs and Other New Ventures.” University of Michigan mimeo. [RDC]","2013","UCLA",NA,"Starr, Evan, Natarajan Balasubramanian, and Mariko Sakakibara.","2013",NA
"The Role of Agents and Brokers in the Market for Health Insurance - An Analysis of MEPS-IC","Despite the influence of agents and brokers on health insurance decision making, especially for small businesses, little is known about the relationship between the structure of the agent/broker market and access and affordability of insurance. Our research aims to fill this gap by investigating the role of agents and brokers in the health insurance decisions of small businesses, a sector that is particularly vulnerable to potential problems regarding health insurance financing. We will investigate whether the structure of the market for health insurance agents and brokers is associated with outcomes such as the likelihood of shopping for coverage, offering coverage, high deductible plans and health savings accounts. The data on the market for insurance agents and brokers will be based on the membership database of the National Association of Health Underwriters. We will merge this data with the Medical Expenditure Panel Survey - Insurance Component, a nationally representative sample of employers along with information on their health insurance offerings and characteristics of the policies offered, as well as other information at the employer level. All our analyses will control for relevant market-level demographic variables and state small group regulations.","The Role of Agents and Brokers in the Market for Health Insurance","Karaca-Mandic, Pinar, Roger Feldman, and Peter Graven, “The Role of Agents and Brokers in the Market for Health Insurance,” Journal of Risk and Insurance, 2018, 85:7-34. [RDC]","2018","Minnesota",NA,"Karaca-Mandic, Pinar, Roger Feldman, and Peter Graven, “The Role of Agents and Brokers in the Market for Health Insurance,” Journal of Risk and Insurance,","2018",NA
"The Role of Agents and Brokers in the Market for Health Insurance - An Analysis of MEPS-IC","Despite the influence of agents and brokers on health insurance decision making, especially for small businesses, little is known about the relationship between the structure of the agent/broker market and access and affordability of insurance. Our research aims to fill this gap by investigating the role of agents and brokers in the health insurance decisions of small businesses, a sector that is particularly vulnerable to potential problems regarding health insurance financing. We will investigate whether the structure of the market for health insurance agents and brokers is associated with outcomes such as the likelihood of shopping for coverage, offering coverage, high deductible plans and health savings accounts. The data on the market for insurance agents and brokers will be based on the membership database of the National Association of Health Underwriters. We will merge this data with the Medical Expenditure Panel Survey - Insurance Component, a nationally representative sample of employers along with information on their health insurance offerings and characteristics of the policies offered, as well as other information at the employer level. All our analyses will control for relevant market-level demographic variables and state small group regulations.","The Role of Agents and Brokers in the Market for Health Insurance","Karaca-Mandic, Pinar, Roger Feldman, and Peter Graven. 2013. “The Role of Agents and Brokers in the Market for Health Insurance.” NBER Working Paper 19342.","2013","Minnesota",NA,"Karaca-Mandic, Pinar, Roger Feldman, and Peter Graven.","2013",NA
"The Role of Agents and Brokers in the Market for Health Insurance - An Analysis of MEPS-IC","Despite the influence of agents and brokers on health insurance decision making, especially for small businesses, little is known about the relationship between the structure of the agent/broker market and access and affordability of insurance. Our research aims to fill this gap by investigating the role of agents and brokers in the health insurance decisions of small businesses, a sector that is particularly vulnerable to potential problems regarding health insurance financing. We will investigate whether the structure of the market for health insurance agents and brokers is associated with outcomes such as the likelihood of shopping for coverage, offering coverage, high deductible plans and health savings accounts. The data on the market for insurance agents and brokers will be based on the membership database of the National Association of Health Underwriters. We will merge this data with the Medical Expenditure Panel Survey - Insurance Component, a nationally representative sample of employers along with information on their health insurance offerings and characteristics of the policies offered, as well as other information at the employer level. All our analyses will control for relevant market-level demographic variables and state small group regulations.","The Role of Agents and Brokers in the Market for Health Insurance","Karaca-Mandic, Pinar, Roger Feldman, and Peter Graven. 2013. “The Role of Agents and Brokers in the Market for Health Insurance.” Center for Economic Studies Discussion Paper 13-58. [RDC]","2013","Minnesota",NA,"Karaca-Mandic, Pinar, Roger Feldman, and Peter Graven.","2013",NA
"Does Organizational Innovation Complement Technology Adoption?","We propose a series of related analyses to understand the nature of technology-related organizational capital. Our first analysis attempts to gain further insight into the organizational innovations wrought by Enterprise-Resource-Planning (ERP) systems on the economy. By combining Census data sets with our ERP data from Harte Hanks and SAP, we can study how ERP systems have affected organizational change at both the plant and the firm level. Among firms that adopted ERP systems, how did their operations change? Which plants were closed and how was production reallocated? A purpose of this analysis is to examine what internal changes differentiated the most successful implementers of this new technology from the ones that were less successful.
Our other analyses concern the relationship between IT and the dynamic nature of the U.S. economy. The first phenomenon we want to explore in this stream of research is that of persistent firm heterogeneity. Are there greater and more persistent differences in performance between the leading and lagging firms in IT-intensive industries? We are also interested in whether there is greater “Schumpeterian” creative destruction in the most IT-intensive industries. Do the most productive firms in one period generate a greater share of output in the next period? Does the answer change depending on the intensity of IT usage in the industry? Are there more firm births and deaths in these industries? We are also interested in further exploring the relationship between IT and firm size, and examine the distribution of employment in industries by size and IT usage.","Physician Practice Organization and Negotiated Prices: Evidence from State Law Changes","Hausman, Naomi, and Kurt Lavetti. 2021. ""Physician Practice Organization and Negotiated Prices: Evidence from State Law Changes."" American Economic Journal: Applied Economics, 13 (2): 258-96. DOI: 10.1257/app.20180078","2021","Boston",NA,"Hausman, Naomi, and Kurt Lavetti.","2021","10.1257/app.20180078"
"Does Organizational Innovation Complement Technology Adoption?","We propose a series of related analyses to understand the nature of technology-related organizational capital. Our first analysis attempts to gain further insight into the organizational innovations wrought by Enterprise-Resource-Planning (ERP) systems on the economy. By combining Census data sets with our ERP data from Harte Hanks and SAP, we can study how ERP systems have affected organizational change at both the plant and the firm level. Among firms that adopted ERP systems, how did their operations change? Which plants were closed and how was production reallocated? A purpose of this analysis is to examine what internal changes differentiated the most successful implementers of this new technology from the ones that were less successful.
Our other analyses concern the relationship between IT and the dynamic nature of the U.S. economy. The first phenomenon we want to explore in this stream of research is that of persistent firm heterogeneity. Are there greater and more persistent differences in performance between the leading and lagging firms in IT-intensive industries? We are also interested in whether there is greater “Schumpeterian” creative destruction in the most IT-intensive industries. Do the most productive firms in one period generate a greater share of output in the next period? Does the answer change depending on the intensity of IT usage in the industry? Are there more firm births and deaths in these industries? We are also interested in further exploring the relationship between IT and firm size, and examine the distribution of employment in industries by size and IT usage.","Physician Practice Organization and Negotiated Prices: Evidence from State Law Changes","Hausman, Naomi, and Kurt Lavetti, “Physician Practice Organization and Negotiated Prices: Evidence from State Law Changes,” Hebrew University mimeo, 2018. [RDC]","2018","Boston",NA,"Hausman, Naomi, and Kurt Lavetti, “Physician Practice Organization and Negotiated Prices: Evidence from State Law Changes,” Hebrew University mimeo,","2018",NA
"The Emergence of Wage Discrimination in US Manufacturing","This project will link firms in the Census of Manufactures to workers in the LEHD files in order to estimate production functions with labor disaggregated by gender and age.  The production functions will provide estimates of relative female productivity, which can be compared to relative female earnings, producing a better test of wage discrimination than is currently available.  We will determine whether disaggregating labor by age and gender improves the imputation of output.","Testing for Wage Discrimination in U.S. Manufacturing","Burnette, Joyce. 2012. “Testing for Wage Discrimination in U.S. Manufacturing.” Center for Economic Studies Discussion Paper CES-12-23. [RDC]","2012","Chicago",NA,"Burnette, Joyce.","2012",NA
"The Emergence of Wage Discrimination in US Manufacturing","This project will link firms in the Census of Manufactures to workers in the LEHD files in order to estimate production functions with labor disaggregated by gender and age.  The production functions will provide estimates of relative female productivity, which can be compared to relative female earnings, producing a better test of wage discrimination than is currently available.  We will determine whether disaggregating labor by age and gender improves the imputation of output.","The Emergence of Wage Discrimination in U.S. Manufacturing","Burnette, Joyce. 2011. “The Emergence of Wage Discrimination in U.S. Manufacturing.” Center for Economic Studies Discussion Paper CES-11-18. [RDC]","2011","Chicago",NA,"Burnette, Joyce.","2011",NA
"The Emergence of Wage Discrimination in US Manufacturing","This project will link firms in the Census of Manufactures to workers in the LEHD files in order to estimate production functions with labor disaggregated by gender and age.  The production functions will provide estimates of relative female productivity, which can be compared to relative female earnings, producing a better test of wage discrimination than is currently available.  We will determine whether disaggregating labor by age and gender improves the imputation of output.","The Paradox of Progress: The Emergence of Wage Discrimination in U.S. Manufacturing","Burnette, Joyce. 2015. “The Paradox of Progress: The Emergence of Wage Discrimination in U.S. Manufacturing.” European Review of Economic History 19: 128-148. [RDC]","2015","Chicago",NA,"Burnette, Joyce.","2015",NA
"Understanding Organizational Factors Behind Firm Performance Heterogeneity","This project focuses on internal organization as an explanation for firm performance heterogeneity. It explores two broad categories of organization factors: (1) the cost of coordinating the various activities that firms carry out in house and (2) the organization structures firms adopt to facilitate coordination.","Offshoring Production while Offshoring Pollution?","Li, Xiaoyang, and Yue M. Zhou. 2016. “Offshoring Production while Offshoring Pollution?” Center for Economic Studies Discussion Paper 16-09. [RDC]","2016","Michigan",NA,"Li, Xiaoyang, and Yue M. Zhou.","2016",NA
"Understanding Organizational Factors Behind Firm Performance Heterogeneity","This project focuses on internal organization as an explanation for firm performance heterogeneity. It explores two broad categories of organization factors: (1) the cost of coordinating the various activities that firms carry out in house and (2) the organization structures firms adopt to facilitate coordination.","Offshoring Production or Offshoring Pollution?","Li, Xiaoyang, and Yue Maggie Zhou. 2014. “Offshoring Production or Offshoring Pollution?” Ross School of Business Paper No. 1253. [RDC]","2014","Michigan",NA,"Li, Xiaoyang, and Yue Maggie Zhou.","2014",NA
"Understanding Organizational Factors Behind Firm Performance Heterogeneity","This project focuses on internal organization as an explanation for firm performance heterogeneity. It explores two broad categories of organization factors: (1) the cost of coordinating the various activities that firms carry out in house and (2) the organization structures firms adopt to facilitate coordination.","Offshoring Pollution while Offshoring Production","Li, Xiaoyang, and Yue Maggie Zhou. 2017. “Offshoring Pollution while Offshoring Production.” Strategic Management Journal 38: 2310-2329. [RDC]","2017","Michigan",NA,"Li, Xiaoyang, and Yue Maggie Zhou.","2017",NA
"Understanding Organizational Factors Behind Firm Performance Heterogeneity","This project focuses on internal organization as an explanation for firm performance heterogeneity. It explores two broad categories of organization factors: (1) the cost of coordinating the various activities that firms carry out in house and (2) the organization structures firms adopt to facilitate coordination.","Public vs. Private Firms: Energy Efficiency, Toxic Emissions and Abatement Spending","Sampson, Rachelle C., and Yue Maggie Zhou, “Public vs. Private Firms: Energy Efficiency, Toxic Emissions and Abatement Spending,” In Advances in Strategic Management: Sustainability, Stakeholder Governance and Corporate Social Responsibility, Emerald Publishing Limited, 2018. [RDC]","2018","Michigan",NA,"Sampson, Rachelle C., and Yue Maggie Zhou, “Public vs. Private Firms: Energy Efficiency, Toxic Emissions and Abatement Spending,” In Advances in Strategic Management: Sustainability, Stakeholder Governance and Corporate Social Responsibility, Emerald Publishing Limited,","2018",NA
"Understanding Organizational Factors Behind Firm Performance Heterogeneity","This project focuses on internal organization as an explanation for firm performance heterogeneity. It explores two broad categories of organization factors: (1) the cost of coordinating the various activities that firms carry out in house and (2) the organization structures firms adopt to facilitate coordination.","Offshoring Pollution while Offshoring Production","Li, Xiaoyng, and Yue Maggie Zhou. 2015. “Offshoring Pollution while Offshoring Production.” University of Michigan mimeo. [RDC]","2015","Michigan",NA,"Li, Xiaoyng, and Yue Maggie Zhou.","2015",NA
"Geographic Deregulation of U.S. Banking, Market Selection, and Economic Growth","This study investigates how changes in state banking laws affect firms' access to credit, asset accumulation, and economic performance. Work will focus on manufacturing firms but will also investigate how banking law changes affect other sectors of the economy. The research uses the Quarterly Survey of Plant Capacity (QPC), the Annual Survey of Manufactures (ASM), the Census of Manufactures (CMF), and the Longitudinal Business Database to analyze the effects of banking deregulation on plant-level output, employment, investment, productivity, and capital-to-labor ratios. Further, the project investigates the influence of banking deregulation on the market selection process and the reallocation of resources across manufacturing plants. The study will also use the Survey of Business Owners and the Integrated Longitudinal Business Database to provide a direct research link between credit markets and the productive sector by identifying firms that use debt to finance startup capital. This will allow the researchers to investigate whether banking deregulation affects access to credit for new businesses or the future performance and asset accumulation of borrowing firms. The research will benefit the Census Bureau by studying the quality of the data in the recently launched QPC. The researchers will compare the data in the QPC to data in the ASM and CMF, in addition to using the QPC (and it predecessor, the annual Survey of Plant Capacity Utilization) to study variation in capacity utilization rates across states. The analysis of capacity utilization variation will be performed in order to evaluate whether the QPC can be used to make inferences at the state level.  Finally, this work will benefit the Bureau by producing population estimates of how changes in state banking regulations affect firms' access to credit and asset accumulation, and how such changes influence the manufacturing sector in terms of the economic performance and input choices of plants, the reallocation of resources, and the market selection process.","Access to Credit, Market Selection, and Economic Growth","Melendez-Lugo, Joel. 2012. “Access to Credit, Market Selection, and Economic Growth.” Ph.D. dissertation, University of Houston. [RDC]","2012","Triangle",NA,"Melendez-Lugo, Joel.","2012",NA
"The Antecedents and Consequences of Employee Entrepreneurship","This research will examine the antecedents and consequences of employee entrepreneurship within and across multiple levels of analysis. There is little extant literature that explores the importance of interactions across multi-levels in the origination of employee entrepreneurship and its effects on entrepreneurs, the firms that they exit, the firms that they form, and the industries in which they operate. This project studies these issues from a multi-level perspective focusing on the individual level, the establishment level, and the industry level, as well as interactions across levels.","Entrepreneurial Teams' Acquisition of Talent: A Two-Sided Approach","Honoré, Florence. 2017. “Entrepreneurial Teams' Acquisition of Talent: A Two-Sided Approach.” Academy of Management Proceedings. Vol. 2016, No. 1","2017","Minnesota",NA,"Honoré, Florence.","2017",NA
"The Antecedents and Consequences of Employee Entrepreneurship","This research will examine the antecedents and consequences of employee entrepreneurship within and across multiple levels of analysis. There is little extant literature that explores the importance of interactions across multi-levels in the origination of employee entrepreneurship and its effects on entrepreneurs, the firms that they exit, the firms that they form, and the industries in which they operate. This project studies these issues from a multi-level perspective focusing on the individual level, the establishment level, and the industry level, as well as interactions across levels.","Employee Mobility, Employee Entrepreneurship, and Employee Value Capture: Labor Market Frictions and the Impact of Social Comparison Costs on Compensation","Olson, Daniel M. 2018. Employee Mobility, Employee Entrepreneurship, and Employee Value Capture: Labor Market Frictions and the Impact of Social Comparison Costs on Compensation. Ph.D. dissertation, University of Maryland.","2018","Minnesota",NA,"Olson, Daniel M.","2018",NA
"The Antecedents and Consequences of Employee Entrepreneurship","This research will examine the antecedents and consequences of employee entrepreneurship within and across multiple levels of analysis. There is little extant literature that explores the importance of interactions across multi-levels in the origination of employee entrepreneurship and its effects on entrepreneurs, the firms that they exit, the firms that they form, and the industries in which they operate. This project studies these issues from a multi-level perspective focusing on the individual level, the establishment level, and the industry level, as well as interactions across levels.","Entrepreneurial teams' acquisition of talent: Evidence from technology manufacturing industries using a two-sided approach","Honoré, F, Ganco, M. Entrepreneurial teams' acquisition of talent: Evidence from technology manufacturing industries using a two-sided approach. Strat Mgmt J. 2023; 44: 141– 170.","2023","Minnesota",NA,"Honoré, F, Ganco, M. Entrepreneurial teams' acquisition of talent: Evidence from technology manufacturing industries using a two-sided approach. Strat Mgmt J.","2023",NA
"The Antecedents and Consequences of Employee Entrepreneurship","This research will examine the antecedents and consequences of employee entrepreneurship within and across multiple levels of analysis. There is little extant literature that explores the importance of interactions across multi-levels in the origination of employee entrepreneurship and its effects on entrepreneurs, the firms that they exit, the firms that they form, and the industries in which they operate. This project studies these issues from a multi-level perspective focusing on the individual level, the establishment level, and the industry level, as well as interactions across levels.","Signals or Shackles? The Effect of Patents on Inventor Mobility and Entrepreneurship","Frake, Justin. 2017. Signals or Shackles? The Effect of Patents on Inventor Mobility and Entrepreneurship. Mimeo.","2017","Minnesota",NA,"Frake, Justin.","2017",NA
"The Antecedents and Consequences of Employee Entrepreneurship","This research will examine the antecedents and consequences of employee entrepreneurship within and across multiple levels of analysis. There is little extant literature that explores the importance of interactions across multi-levels in the origination of employee entrepreneurship and its effects on entrepreneurs, the firms that they exit, the firms that they form, and the industries in which they operate. This project studies these issues from a multi-level perspective focusing on the individual level, the establishment level, and the industry level, as well as interactions across levels.","Entrepreneurial Teams' Human Capital: From its Formation to its Impact on the Performance of Technological New Ventures","Honore, Florence. 2015. “Entrepreneurial Teams’ Human Capital: From its Formation to its Impact on the Performance of Technological New Ventures.” Ph.D. dissertation, University of Minnesota. [RDC]","2015","Minnesota",NA,"Honore, Florence.","2015",NA
"The Antecedents and Consequences of Employee Entrepreneurship","This research will examine the antecedents and consequences of employee entrepreneurship within and across multiple levels of analysis. There is little extant literature that explores the importance of interactions across multi-levels in the origination of employee entrepreneurship and its effects on entrepreneurs, the firms that they exit, the firms that they form, and the industries in which they operate. This project studies these issues from a multi-level perspective focusing on the individual level, the establishment level, and the industry level, as well as interactions across levels.","From Common Ground to Breaking New Ground: Founding Team's Prior Shared Experience and Start-Up Performance","Honore, Florence. 2014. “From Common Ground to Breaking New Ground: Founding Team's Prior Shared Experience and Start-Up Performance.” Center for Economic Studies Discussion Paper 14-39. [RDC]","2014","Minnesota",NA,"Honore, Florence.","2014",NA
"The Antecedents and Consequences of Employee Entrepreneurship","This research will examine the antecedents and consequences of employee entrepreneurship within and across multiple levels of analysis. There is little extant literature that explores the importance of interactions across multi-levels in the origination of employee entrepreneurship and its effects on entrepreneurs, the firms that they exit, the firms that they form, and the industries in which they operate. This project studies these issues from a multi-level perspective focusing on the individual level, the establishment level, and the industry level, as well as interactions across levels.","Joining Forces: How Can Founding Members’ Prior Experience Variety and Shared Experience Increase Startup Survival?","Honoré, F. 2022. Joining Forces: How Can Founding Members’ Prior Experience Variety and Shared Experience Increase Startup Survival? Academy of Management Journal 65(1): 248–272.","2022","Minnesota",NA,"Honoré, F.","2022",NA
"The Antecedents and Consequences of Employee Entrepreneurship","This research will examine the antecedents and consequences of employee entrepreneurship within and across multiple levels of analysis. There is little extant literature that explores the importance of interactions across multi-levels in the origination of employee entrepreneurship and its effects on entrepreneurs, the firms that they exit, the firms that they form, and the industries in which they operate. This project studies these issues from a multi-level perspective focusing on the individual level, the establishment level, and the industry level, as well as interactions across levels.","Entrepreneurial Teams' Acquisition of Talent: A Two-Sided Approach","Honoré, Florence, and Martin Ganco. 2016. “Entrepreneurial Teams' Acquisition of Talent: A Two-Sided Approach.” Center for Economic Studies Discussion Paper 16-45. [RDC]","2016","Minnesota",NA,"Honoré, Florence, and Martin Ganco.","2016",NA
"The Antecedents and Consequences of Employee Entrepreneurship","This research will examine the antecedents and consequences of employee entrepreneurship within and across multiple levels of analysis. There is little extant literature that explores the importance of interactions across multi-levels in the origination of employee entrepreneurship and its effects on entrepreneurs, the firms that they exit, the firms that they form, and the industries in which they operate. This project studies these issues from a multi-level perspective focusing on the individual level, the establishment level, and the industry level, as well as interactions across levels.","Essays on Awards and Achievement","Frake, Justin. 2018. Essays on Awards and Achievement. Ph.D. dissertation, University of Maryland.","2018","Minnesota",NA,"Frake, Justin.","2018",NA
"The Antecedents and Consequences of Employee Entrepreneurship","This research will examine the antecedents and consequences of employee entrepreneurship within and across multiple levels of analysis. There is little extant literature that explores the importance of interactions across multi-levels in the origination of employee entrepreneurship and its effects on entrepreneurs, the firms that they exit, the firms that they form, and the industries in which they operate. This project studies these issues from a multi-level perspective focusing on the individual level, the establishment level, and the industry level, as well as interactions across levels.","All in the Tails? Pre-Entry Knowledge and the Distribution of Startup Performance","Agarwal R, Carnahan S, Campbell BA, Choi J. All in the Tails? Pre-Entry Knowledge and the Distribution of Startup Performance. Mimeo","2023","Minnesota",NA,"Agarwal R, Carnahan S, Campbell BA, Choi J. All in the Tails? Pre-Entry Knowledge and the Distribution of Startup Performance. Mimeo",NA,NA
"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit","This project tests for key relationships between entrepreneurship, personal credit and income history, and firm success. In particular, this research will shed light on the role of credit constraints on individual decisions regarding personal and business finance. These relationships are essential for understanding (a) consumption patterns including delinquency, default, and bankruptcy; (b) formation, success, and failure of small business funded by personal finance; (c) the link between human capital accumulation and the availability of credit; and (d) firm credit history and the mergers and acquisitions of firms.","Can the Unemployed Borrow? Implications for Public Insurance","Braxton, J. Carter & Gordon Phillips & Kyle Herkenhoff, 2018. ""Can the Unemployed Borrow? Implications for Public Insurance,"" 2018 Meeting Papers 564, Society for Economic Dynamics.","2018","USC",NA,"Braxton, J. Carter & Gordon Phillips & Kyle Herkenhoff,","2018",NA
"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit","This project tests for key relationships between entrepreneurship, personal credit and income history, and firm success. In particular, this research will shed light on the role of credit constraints on individual decisions regarding personal and business finance. These relationships are essential for understanding (a) consumption patterns including delinquency, default, and bankruptcy; (b) formation, success, and failure of small business funded by personal finance; (c) the link between human capital accumulation and the availability of credit; and (d) firm credit history and the mergers and acquisitions of firms.","The Impact of Consumer Credit Access on Self-Employment and Entrepreneurship","Herkenhoff, Kyle, Gordon M. Phillips, Ethan Cohen-Cole, “The Impact of Consumer Credit Access on Self-Employment and Entrepreneurship,” Tuck School of Business mimeo, 2018. [RDC]","2018","USC",NA,"Herkenhoff, Kyle, Gordon M. Phillips, Ethan Cohen-Cole, “The Impact of Consumer Credit Access on Self-Employment and Entrepreneurship,” Tuck School of Business mimeo,","2018",NA
"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit","This project tests for key relationships between entrepreneurship, personal credit and income history, and firm success. In particular, this research will shed light on the role of credit constraints on individual decisions regarding personal and business finance. These relationships are essential for understanding (a) consumption patterns including delinquency, default, and bankruptcy; (b) formation, success, and failure of small business funded by personal finance; (c) the link between human capital accumulation and the availability of credit; and (d) firm credit history and the mergers and acquisitions of firms.","Credit Markets, Resource Allocation and Aggregate Industry Productivity","Bai, John, Daniel R. Carvalho, and Gordon M. Phillips. 2015. “Credit Markets, Resource Allocation and Aggregate Industry Productivity.” University of Southern California mimeo. [RDC]","2015","USC",NA,"Bai, John, Daniel R. Carvalho, and Gordon M. Phillips.","2015",NA
"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit","This project tests for key relationships between entrepreneurship, personal credit and income history, and firm success. In particular, this research will shed light on the role of credit constraints on individual decisions regarding personal and business finance. These relationships are essential for understanding (a) consumption patterns including delinquency, default, and bankruptcy; (b) formation, success, and failure of small business funded by personal finance; (c) the link between human capital accumulation and the availability of credit; and (d) firm credit history and the mergers and acquisitions of firms.","The Impact of Consumer Credit Access on Employment, Earnings and Entrepreneurship","Herkenhoff, Kyle, Gordon Phillips, and Ethan Cohen-Cole. 2016. “The Impact of Consumer Credit Access on Employment, Earnings and Entrepreneurship.” NBER Working Paper No. 22846. [RDC]","2016","USC",NA,"Herkenhoff, Kyle, Gordon Phillips, and Ethan Cohen-Cole.","2016",NA
"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit","This project tests for key relationships between entrepreneurship, personal credit and income history, and firm success. In particular, this research will shed light on the role of credit constraints on individual decisions regarding personal and business finance. These relationships are essential for understanding (a) consumption patterns including delinquency, default, and bankruptcy; (b) formation, success, and failure of small business funded by personal finance; (c) the link between human capital accumulation and the availability of credit; and (d) firm credit history and the mergers and acquisitions of firms.","How Credit Constraints Impact Job Finding Rates, Sorting and Aggregate Output","Herkenhoff, Kyle, Gordon Phillips, and Ethan Cohen-Cole. 2016. “How Credit Constraints Impact Job Finding Rates, Sorting and Aggregate Output.” Center for Economic Studies Discussion Paper 16-25. [RDC]","2016","USC",NA,"Herkenhoff, Kyle, Gordon Phillips, and Ethan Cohen-Cole.","2016",NA
"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit","This project tests for key relationships between entrepreneurship, personal credit and income history, and firm success. In particular, this research will shed light on the role of credit constraints on individual decisions regarding personal and business finance. These relationships are essential for understanding (a) consumption patterns including delinquency, default, and bankruptcy; (b) formation, success, and failure of small business funded by personal finance; (c) the link between human capital accumulation and the availability of credit; and (d) firm credit history and the mergers and acquisitions of firms.","The Impact of Bank Credit on Labor Reallocation and Aggregate Industry Productivity","Bai, John (Jianqiu), Daniel Carvalho, and Gordon M. Phillips, “The Impact of Bank Credit on Labor Reallocation and Aggregate Industry Productivity,” Journal of Finance, 2018, 73:2787-2836. [RDC]","2018","USC",NA,"Bai, John","2018",NA
"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit","This project tests for key relationships between entrepreneurship, personal credit and income history, and firm success. In particular, this research will shed light on the role of credit constraints on individual decisions regarding personal and business finance. These relationships are essential for understanding (a) consumption patterns including delinquency, default, and bankruptcy; (b) formation, success, and failure of small business funded by personal finance; (c) the link between human capital accumulation and the availability of credit; and (d) firm credit history and the mergers and acquisitions of firms.","The Impact of Bank Credit on Labor Reallocation and Aggregate Industry Productivity","Bai, John (Jianqiu), Daniel Carvalho, and Gordon M. Phillips. 2017. “The Impact of Bank Credit on Labor Reallocation and Aggregate Industry Productivity.” NBER Working Paper No. 24081. [RDC]","2017","USC",NA,"Bai, John","2017",NA
"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit","This project tests for key relationships between entrepreneurship, personal credit and income history, and firm success. In particular, this research will shed light on the role of credit constraints on individual decisions regarding personal and business finance. These relationships are essential for understanding (a) consumption patterns including delinquency, default, and bankruptcy; (b) formation, success, and failure of small business funded by personal finance; (c) the link between human capital accumulation and the availability of credit; and (d) firm credit history and the mergers and acquisitions of firms.","The Impact of Bank Credit on Labor Reallocation and Aggregate Industry Productivity","Bai, John (Jianqiu), Daniel Carvalho, and Gordon Phillips. 2016. “The Impact of Bank Credit on Labor Reallocation and Aggregate Industry Productivity.” Center for Economic Studies Discussion Paper 16-26. [RDC]","2016","USC",NA,"Bai, John","2016",NA
"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit","This project tests for key relationships between entrepreneurship, personal credit and income history, and firm success. In particular, this research will shed light on the role of credit constraints on individual decisions regarding personal and business finance. These relationships are essential for understanding (a) consumption patterns including delinquency, default, and bankruptcy; (b) formation, success, and failure of small business funded by personal finance; (c) the link between human capital accumulation and the availability of credit; and (d) firm credit history and the mergers and acquisitions of firms.","Can the Unemployed Borrow? Implications for Public Insurance","Braxton, J. Carter & Kyle F. Herkenhoff & Gordon M. Phillips, 2020. ""Can the Unemployed Borrow? Implications for Public Insurance,"" NBER Working Papers 27026, National Bureau of Economic Research, Inc.","2020","USC",NA,"Braxton, J. Carter & Kyle F. Herkenhoff & Gordon M. Phillips,","2020",NA
